district_name,rep_incumbent,dem_incumbent,obama_2012_margin,dem_2014_margin,hillary_2016_margin,dem_2016_margin,elasticity,rep_running,dem_running,dinc14,rinc14,dinc16,rinc16
IL-13,1,0,-0.0212,-0.0575,-0.0404,-0.1027,1.17,TRUE,TRUE,0,1,0,1
IL-14,1,0,-0.0705,-0.1245,-0.0319,-0.0987,1.06,TRUE,TRUE,0,1,0,1
IL-15,1,0,-0.1717,-0.2205,-0.2537,N/A,0.97,TRUE,TRUE,0,1,0,0
IL-16,1,0,-0.111,-0.1765,-0.1026,N/A,1.1,TRUE,TRUE,0,1,0,0
IL-17,0,1,-0.0196,0.0845,-0.0148,0.0973,1.11,TRUE,TRUE,1,0,1,0
IL-18,1,0,-0.1648,-0.2175,-0.1569,-0.2267,0.97,TRUE,TRUE,0,1,0,1
IN-01,0,1,0.101,0.1588,0.0548,N/A,0.95,TRUE,TRUE,1,0,0,0
IN-02,1,0,-0.0909,-0.0767,-0.1327,-0.1218,1.07,TRUE,TRUE,0,1,0,1
IN-03,1,0,-0.1561,-0.1816,-0.1949,-0.2588,1.13,TRUE,TRUE,0,1,0,0
IN-04,0,0,-0.1423,-0.1392,-0.1915,-0.1851,0.88,TRUE,TRUE,0,1,0,1
IN-05,1,0,-0.1052,-0.1496,-0.0736,-0.1475,0.99,TRUE,TRUE,0,1,0,1
IN-06,0,0,-0.1379,-0.1624,-0.223,-0.2271,0.88,TRUE,TRUE,0,1,0,1
IN-07,0,1,0.1209,0.0967,0.1087,0.1213,1.05,TRUE,TRUE,1,0,1,0
IN-08,1,0,-0.1156,-0.0979,-0.1875,-0.1735,0.96,TRUE,TRUE,0,1,0,1
IN-09,1,0,-0.1039,-0.1192,-0.1522,-0.078,1.01,TRUE,TRUE,0,1,0,0
IA-01,1,0,0.0498,0.0171,-0.0297,-0.0437,0.94,TRUE,TRUE,0,0,0,1
IA-02,0,1,0.0469,0.055,-0.0329,0.0319,1.17,TRUE,TRUE,1,0,1,0
IA-03,1,0,0.0017,-0.0263,-0.0298,-0.0794,1,TRUE,TRUE,0,0,0,1
IA-04,1,0,-0.0607,-0.0871,-0.1562,-0.1189,1.06,TRUE,TRUE,0,1,0,1
KS-01,1,0,-0.2616,-0.1438,-0.253,N/A,0.88,TRUE,TRUE,0,1,0,0
KS-02,0,0,-0.1218,-0.0667,-0.1257,-0.157,0.96,TRUE,TRUE,0,1,0,1
KS-03,1,0,-0.0596,-0.0707,-0.0057,-0.0639,1.05,TRUE,TRUE,0,1,0,1
KS-04,1,0,-0.1523,-0.1371,-0.1563,-0.1779,1.12,TRUE,TRUE,0,1,0,1
KY-01,1,0,-0.1938,-0.2015,-0.2629,-0.2324,0.92,TRUE,TRUE,0,1,0,1
KY-02,1,0,-0.1629,-0.1625,-0.2209,N/A,0.91,TRUE,TRUE,0,1,0,0
KY-03,0,1,0.0458,0.1703,0.068,0.1293,0.89,TRUE,TRUE,0,1,0,1
KY-04,1,0,-0.1653,-0.1475,-0.201,-0.2187,0.88,TRUE,TRUE,0,1,0,1
KY-05,1,0,-0.2834,-0.2945,-0.3309,N/A,1.07,TRUE,TRUE,0,1,0,0
KY-06,1,0,-0.089,-0.0705,-0.0924,-0.1166,0.92,TRUE,TRUE,0,1,0,1
LA-01,1,0,-0.2446,-0.254,-0.2312,-0.2984,0.94,TRUE,TRUE,0,1,0,1
LA-02,0,1,0.2491,N/A,0.2596,N/A,0.98,FALSE,TRUE,0,0,0,0
LA-03,1,0,-0.1914,N/A,-0.2085,-0.3266,0.9,TRUE,TRUE,0,0,0,0
LA-04,0,0,-0.1145,N/A,-0.1345,-0.1577,1.02,TRUE,TRUE,0,0,0,0
LA-05,1,0,-0.1377,-0.1125,-0.1617,N/A,0.91,TRUE,TRUE,0,0,0,0
LA-06,1,0,-0.1934,-0.0945,-0.1875,-0.2585,1.08,TRUE,TRUE,0,0,0,1
ME-01,0,1,0.0898,0.1931,0.0696,0.0749,1.15,TRUE,TRUE,1,0,1,0
ME-02,1,0,0.0243,0.0002,-0.0654,-0.0537,1.1,TRUE,TRUE,0,0,0,1
MD-01,1,0,-0.1353,-0.1755,-0.161,-0.2065,1.22,TRUE,TRUE,0,1,0,1
MD-02,0,1,0.1236,0.1615,0.1163,0.1456,1.21,TRUE,TRUE,1,0,1,0
MD-03,0,1,0.101,0.1235,0.1493,0.1398,1.18,TRUE,TRUE,1,0,1,0
MD-04,0,1,0.2713,0.2422,0.2908,0.2703,1.18,TRUE,TRUE,1,0,0,0
MD-05,0,1,0.1524,0.1714,0.15,0.1906,0.98,TRUE,TRUE,1,0,1,0
MD-06,0,0,0.0457,0.0372,0.0732,0.0771,1.21,TRUE,TRUE,1,0,1,0
MD-07,0,1,0.254,0.2509,0.2785,0.2689,1.01,TRUE,TRUE,1,0,1,0
MD-08,0,1,0.113,0.1327,0.1688,0.1336,1.13,TRUE,TRUE,1,0,0,0
MA-01,0,1,0.1354,0.1698,0.0994,0.0966,1.2,FALSE,TRUE,1,0,1,0
MA-02,0,1,0.08,0.1295,0.0932,0.1393,1.11,TRUE,TRUE,1,0,1,0
MA-03,0,0,0.0592,0.1597,0.1107,0.182,1.04,TRUE,TRUE,1,0,1,0
MA-04,0,1,0.0611,0.1294,0.1174,0.1959,1.02,FALSE,TRUE,1,0,1,0
MA-05,0,1,0.1436,0.2284,0.2184,0.1964,0.89,TRUE,TRUE,1,0,1,0
MA-06,0,1,0.0351,0.1015,0.0838,0.0831,0.88,TRUE,TRUE,0,0,1,0
MA-07,0,0,0.3213,0.3724,0.365,0.3549,0.97,FALSE,TRUE,1,0,1,0
MA-08,0,1,0.0666,0.1338,0.126,0.2194,0.9,FALSE,TRUE,1,0,1,0
MA-09,0,1,0.0432,0.0793,0.0456,0.118,0.87,TRUE,TRUE,1,0,1,0
MI-01,1,0,-0.0616,-0.0054,-0.1238,-0.0836,1.11,TRUE,TRUE,0,1,0,0
MI-02,1,0,-0.0847,-0.1268,-0.1047,-0.1639,1.04,TRUE,TRUE,0,1,0,1
MI-03,1,0,-0.0565,-0.068,-0.0612,-0.1191,1.03,TRUE,TRUE,0,1,0,1
MI-04,1,0,-0.06,-0.0615,-0.1427,-0.1634,1.12,TRUE,TRUE,0,0,0,1
